Ledger statement

"Date","Account","Narration","DR  ","CR   ","Balance   ",
"2026-02-14","Airtel Money","full payment for 1 double cottage and 1 single cottage BB","870000","0","19799390",
"2026-02-19","Airtel Money","POS as Cash Wrongly","440000","0","20239390",
"2026-02-19","Airtel Money","CONTRA","0","4000000","16239390",
"2026-03-04","Airtel Money","contra","0","1500000","14739390",
"2026-03-05","Airtel Money","transfer by CK","0","386348","14353042",
"2026-03-05","Airtel Money","Bank, credit card and other financial charges : Being Airtel charges","0","5850","14347192",
"2026-03-05","Airtel Money","full payment for 2 pax double hotel room","248750","0","14595942",
"2026-03-05","Airtel Money","Main Restaurant POS close day posting","95000","0","14690942",
"2026-03-07","Airtel Money","Main Restaurant POS close day posting","30000","0","14720942",
"2026-03-08","Airtel Money","Main Restaurant POS close day posting","220000","0","14940942",
"2026-03-08","Airtel Money","Garden Bar POS close day posting","65000","0","15005942",
"2026-03-09","Airtel Money","Main Restaurant POS close day posting","10000","0","15015942",
"2026-03-09","Airtel Money","Garden Bar POS close day posting","20000","0","15035942",
"2026-03-10","Airtel Money","Garden Bar POS close day posting","10000","0","15045942",
"2026-03-11","Airtel Money","Garden Bar POS close day posting","10000","0","15055942",
"2026-03-13","Airtel Money","Services close day posting","350000","0","15405942",
"2026-03-14","Airtel Money","Main Restaurant POS close day posting","75000","0","15480942",
"2026-03-17","Airtel Money","partial payment for accommodation for 36 pax for 12 rooms BB","3000000","0","18480942",
"2026-03-18","Airtel Money","","136000","0","18616942",
"2026-03-18","Airtel Money","","5000","0","18621942",
"2026-03-18","Airtel Money","","4000","0","18625942",
"2026-03-19","Airtel Money","Main Restaurant POS close day posting","165000","0","18790942",
"2026-03-19","Airtel Money","Garden Bar POS close day posting","15000","0","18805942",
"2026-03-21","Airtel Money","Services close day posting","400000","0","19205942",
"2026-03-22","Airtel Money","full payment for accommodation  ","224000","0","19429942",
"2026-03-23","Airtel Money","CONTRA","0","3700000","15729942",
"2026-03-24","Airtel Money","Main Restaurant POS close day posting","75000","0","15804942",
"2026-03-24","Airtel Money","Garden Bar POS close day posting","30000","0","15834942",
"2026-03-24","Airtel Money","Services close day posting","40000","0","15874942",
"2026-03-26","Airtel Money","partial payment for accommodation for 7 pax for 5 rooms ","300000","0","16174942",
"2026-03-28","Airtel Money","Main Restaurant POS close day posting","88000","0","16262942",
"2026-03-28","Airtel Money","Garden Bar POS close day posting","40000","0","16302942",
"2026-03-28","Airtel Money","Services close day posting","30000","0","16332942",
"2026-03-30","Airtel Money","Main Restaurant POS close day posting","30000","0","16362942",
"2026-03-31","Airtel Money","partial payment for accommodation","1000000","0","17362942",
"2026-03-31","Airtel Money","partial payment for accommodation","300000","0","17662942",
"2026-04-03","Airtel Money","Main Restaurant POS close day posting","245000","0","17907942",
"2026-04-04","Airtel Money","full payment for accommodation ","650000","0","18557942",
"2026-04-04","Airtel Money","full payment for accommodation ","4280000","0","22837942",
"2026-04-04","Airtel Money","partial payment for accommodation","700000","0","23537942",
"2026-04-04","Airtel Money","full payment for accommodation","700000","0","24237942",
"2026-04-04","Airtel Money","Services POS close day posting","690000","0","24927942",
"2026-04-04","Airtel Money","Bar POS close day posting","25000","0","24952942",
"2026-04-04","Airtel Money","full payment for accommodation","650000","0","25602942",
"2026-04-04","Airtel Money","Main Restaurant POS close day posting","305000","0","25907942",
"2026-04-05","Airtel Money","partial payment for accommodation","150000","0","26057942",
"2026-04-05","Airtel Money","full payment for accommodation and transport","800000","0","26857942",
"2026-04-05","Airtel Money","full payment for acccommodation","1058000","0","27915942",
"2026-04-05","Airtel Money","payment for pos","10000","0","27925942",
"2026-04-05","Airtel Money","Main Restaurant POS close day posting","10000","0","27935942",
"2026-04-05","Airtel Money","Bar POS close day posting","40000","0","27975942",
"2026-04-06","Airtel Money","partial payment for accommodation","700000","0","28675942",
"2026-04-06","Airtel Money","full payment for accomodation","1490000","0","30165942",
"2026-04-06","Airtel Money","partial payment for water from garden bar","10000","0","30175942",
"2026-04-06","Airtel Money","partial payment for restuarant","156000","0","30331942",
"2026-04-06","Airtel Money","Main Restaurant POS close day posting","10000","0","30341942",
"Total"," "," ","45741690;","15399748;","",
